"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"so$nFeature_RNA1","1","0",1,7240,3115.5364640884,678.165740179031,3086.5,3105.92144337017,679.7721,810,5691,4881,0.136360639775218,0.055964917058867,7.9701512490464
"so$nFeature_RNA2","2","1",1,6227,1320.65537176811,339.209786445877,1291,1305.80614087899,323.2068,401,3596,3195,0.636069250104415,1.68396555982557,4.29861886799227
"so$nFeature_RNA3","3","2",1,5931,926.848423537346,269.738652082177,880,895.431401475237,214.977,392,2846,2454,1.66643644137246,5.07887153895755,3.50250868560687
"so$nFeature_RNA4","4","3",1,5579,3041.65137121348,735.94083796217,2989,3011.83650615901,713.1306,826,7088,6262,0.450891895848305,0.646320039505905,9.85291468355076
"so$nFeature_RNA5","5","4",1,5512,850.340348330914,200.133994991115,830,836.576190476191,191.2554,418,2661,2243,0.975557245357255,2.68680402328833,2.69566711247136
"so$nFeature_RNA6","6","5",1,4567,2656.00065688636,616.337024216159,2632,2654.76306429549,587.1096,388,5082,4694,-0.032971774421176,0.506038419076881,9.12016617224348
"so$nFeature_RNA7","7","6",1,4296,2655.64897579143,676.47625911026,2610.5,2636.6951716114,641.2245,464,6371,5907,0.324078888101238,0.769120533727488,10.3209678048714
"so$nFeature_RNA8","8","7",1,4272,3048.71746254682,735.125049684848,3013,3032.4640140433,701.2698,623,5856,5233,0.207067745489916,0.232901633987701,11.2472306066363
"so$nFeature_RNA9","9","8",1,2788,2223.45982783357,598.846245241463,2174,2195.19489247312,581.1792,400,5018,4618,0.529530555725553,0.660253518010079,11.3414594973195
"so$nFeature_RNA10","10","9",1,2764,1412.27785817656,367.324602979445,1379,1393.22920433996,348.411,436,3543,3107,0.708686836908861,1.59720641106115,6.98684322678632
"so$nFeature_RNA11","11","10",1,1529,774.742969260955,342.759024217509,669,725.722448979592,286.1418,359,2503,2144,1.29121647342902,1.62186054334814,8.76567077272697
"so$nFeature_RNA12","12","11",1,1522,2335.63074901445,547.540465891718,2308.5,2323.30377668309,519.6513,479,5056,4577,0.249370577613843,0.808085702765218,14.0348861799697
"so$nFeature_RNA13","13","12",1,1408,3318.58735795455,803.930039907309,3342,3322.42109929078,765.0216,1039,6195,5156,-0.031705155536581,0.13310323768246,21.4248075510041
"so$nFeature_RNA14","14","13",1,1359,1385.91243561442,475.187621715872,1342,1357.68044077135,484.8102,411,3603,3192,0.640883308338408,0.525984259281539,12.8900734101097
"so$nFeature_RNA15","15","14",1,884,1098.60067873303,377.500805935544,1037.5,1061.9209039548,339.5154,405,3515,3110,1.40210379168536,4.01656420596809,12.6967260932261
"so$nFeature_RNA16","16","15",1,812,2602.73522167488,751.173602176935,2573.5,2570.58769230769,709.4241,597,5825,5228,0.427536946520436,0.361512344183656,26.3610256002846
"so$nFeature_RNA17","17","16",1,674,1257.01928783383,369.509865212337,1207,1232.03703703704,334.3263,427,2625,2198,0.709108823894964,0.620629252458752,14.2329882051567
"so$nFeature_RNA18","18","17",1,341,721.967741935484,236.772245027115,672,685.351648351648,149.7426,391,2034,1643,2.30662007859082,7.6004056469193,12.8219359341807
"so$nFeature_RNA19","19","18",1,299,816.919732441472,307.925926296949,753,773.572614107884,231.2856,409,2384,1975,1.77086610854325,4.60119441860576,17.8078161117062
"so$nFeature_RNA20","20","19",1,224,1717.85267857143,521.550018833534,1621.5,1665.98333333333,404.0085,763,4990,4227,2.06587631944242,8.43368325277624,34.8475264382246
"so$nFeature_RNA21","21","20",1,216,3064.25462962963,657.084812745857,3011.5,3058.02298850575,603.4182,604,5400,4796,0.007776995056007,0.835394611680922,44.7089585822106
"so$nFeature_RNA22","22","21",1,212,1339.44811320755,351.09080143106,1275,1299.6,249.0768,713,3501,2788,2.06683083475917,8.47663975205595,24.1130152408838
"so$nFeature_RNA23","23","22",1,41,1974.60975609756,344.125404325863,1895,1963.66666666667,284.6592,1365,2720,1355,0.41108548743338,-0.803479297463551,53.7433589550077
